,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'85123A'}),frozenset({'20685'}),0.11715713492504164,0.03730566352026652,0.010029150471960022,0.0856042654028436,2.2946721040449685,0.005658525817447953,1.0528202397005442,0.639080759939936
1,frozenset({'20685'}),frozenset({'85123A'}),0.03730566352026652,0.11715713492504164,0.010029150471960022,0.2688372093023256,2.2946721040449685,0.005658525817447953,1.207450483404046,0.5860716820904788
2,frozenset({'20711'}),frozenset({'85099B'}),0.018947806774014437,0.06978761799000555,0.010029150471960022,0.5293040293040293,7.584497716770219,0.008706828171066662,1.976248873842245,0.8849193944208282
3,frozenset({'85099B'}),frozenset({'20711'}),0.06978761799000555,0.018947806774014437,0.010029150471960022,0.14370959721531576,7.584497716770217,0.008706828171066662,1.145700325538593,0.9332837634872903
4,frozenset({'20712'}),frozenset({'85099B'}),0.020127706829539144,0.06978761799000555,0.011347862298722932,0.5637931034482759,8.078698194413485,0.009943197583488229,2.132502693935956,0.8942162021892368
5,frozenset({'85099B'}),frozenset({'20712'}),0.06978761799000555,0.020127706829539144,0.011347862298722932,0.16260566882148186,8.078698194413485,0.009943197583488229,1.17014440710558,0.9419544370458978
6,frozenset({'20713'}),frozenset({'21931'}),0.023979733481399222,0.04153942254303165,0.012076624097723487,0.5036179450072359,12.12385522416751,0.011080519816170361,1.9308928834482948,0.9400603831417624
7,frozenset({'21931'}),frozenset({'20713'}),0.04153942254303165,0.023979733481399222,0.012076624097723487,0.2907268170426065,12.12385522416751,0.011080519816170361,1.3760851107453063,0.9572829673725358
8,frozenset({'20713'}),frozenset({'85099B'}),0.023979733481399222,0.06978761799000555,0.014124097723486951,0.5890014471780028,8.439913327638653,0.012450609243784917,2.2632984365102327,0.9031732241332242
9,frozenset({'85099B'}),frozenset({'20713'}),0.06978761799000555,0.023979733481399222,0.014124097723486951,0.20238687220288415,8.439913327638655,0.012450609243784917,1.223676281776126,0.9476495776439818
10,frozenset({'20723'}),frozenset({'20719'}),0.02391032759578012,0.026825374791782344,0.010410882842865074,0.43541364296081275,16.231409489726754,0.009769479343713977,1.723694901718411,0.9613779168296182
11,frozenset({'20719'}),frozenset({'20723'}),0.026825374791782344,0.02391032759578012,0.010410882842865074,0.3880983182406209,16.23140948972675,0.009769479343713977,1.5951740312229639,0.9642576281662686
12,frozenset({'20724'}),frozenset({'20719'}),0.036576901721265966,0.026825374791782344,0.01523459189339256,0.41650853889943074,15.526662428106075,0.014253402795997412,1.6678472438527827,0.9711150375326625
13,frozenset({'20719'}),frozenset({'20724'}),0.026825374791782344,0.036576901721265966,0.01523459189339256,0.5679172056921087,15.526662428106075,0.014253402795997412,2.2297187274534775,0.9613841483429654
14,frozenset({'22355'}),frozenset({'20719'}),0.03161438089950028,0.026825374791782344,0.013811771238201,0.43688254665203075,16.28616748295591,0.01296370362176174,1.728191196032527,0.9692401264520056
15,frozenset({'20719'}),frozenset({'22355'}),0.026825374791782344,0.03161438089950028,0.013811771238201,0.5148771021992238,16.286167482955907,0.01296370362176174,1.9961655561724967,0.964470482068367
16,frozenset({'22356'}),frozenset({'20719'}),0.03033037201554692,0.026825374791782344,0.013187118267629095,0.43478260869565216,16.207885707857585,0.012373494670737863,1.7217704907530003,0.9676508481855272
17,frozenset({'20719'}),frozenset({'22356'}),0.026825374791782344,0.03033037201554692,0.013187118267629095,0.49159120310478654,16.207885707857585,0.012373494670737863,1.9072636703103873,0.9641657454623259
18,frozenset({'20724'}),frozenset({'20723'}),0.036576901721265966,0.02391032759578012,0.014887562465297058,0.40702087286527516,17.022806200995312,0.014012996762702935,1.6460776235424763,0.9769905670056956
19,frozenset({'20723'}),frozenset({'20724'}),0.02391032759578012,0.036576901721265966,0.014887562465297058,0.6226415094339623,17.022806200995312,0.014012996762702935,2.5530712104386457,0.964312302101615
20,frozenset({'20723'}),frozenset({'22355'}),0.02391032759578012,0.03161438089950028,0.011868406440866185,0.4963715529753266,15.700815225616918,0.01111249623682136,1.9228175549286577,0.9592448994400294
21,frozenset({'22355'}),frozenset({'20723'}),0.03161438089950028,0.02391032759578012,0.011868406440866185,0.3754116355653128,15.700815225616914,0.01111249623682136,1.5627727443941022,0.9668762331678806
22,frozenset({'22356'}),frozenset({'20723'}),0.03033037201554692,0.02391032759578012,0.01263187118267629,0.4164759725400457,17.418246189715468,0.01190666205168268,1.6727497523162513,0.9720722517050625
23,frozenset({'20723'}),frozenset({'22356'}),0.02391032759578012,0.03033037201554692,0.01263187118267629,0.5283018867924528,17.418246189715468,0.01190666205168268,2.0556996113270407,0.9656786311068674
24,frozenset({'20724'}),frozenset({'20725'}),0.036576901721265966,0.054657134925041644,0.013568850638534148,0.3709677419354839,6.787178699436764,0.011569661986014926,1.5028527598627544,0.8850352217450816
25,frozenset({'20725'}),frozenset({'20724'}),0.054657134925041644,0.036576901721265966,0.013568850638534148,0.24825396825396825,6.7871786994367636,0.011569661986014926,1.2815805572542283,0.9019620361252141
26,frozenset({'20724'}),frozenset({'21212'}),0.036576901721265966,0.06472098833981121,0.013117712382009995,0.3586337760910816,5.541228360236251,0.01075041915220152,1.4582604708429572,0.8506486922667312
