Customer ID,Age,Gender,Income,Education,Country,Mariage,Children,Total spending,Frequency,Average spending,Quartile,Cluster
12346.0,62,Other,62870,PhD,United Kingdom,Married,3,580.44,17,34.14,4,3
12347.0,65,Male,28910,Master,Iceland,Married,4,644.16,8,80.52,4,2
12349.0,18,Female,45656,High School,Italy,Married,3,1504.59,5,300.92,4,2
12352.0,21,Male,88186,Bachelor,Norway,Single,0,2265.7,13,174.28,4,0
12357.0,68,Other,14361,PhD,Switzerland,Single,3,1834.31,3,611.44,4,0
12359.0,41,Male,48873,College,Cyprus,Single,2,2787.89,14,199.14,4,2
12360.0,24,Female,35618,Master,Austria,Single,1,736.13,9,81.79,4,2
12362.0,42,Female,93584,Master,Belgium,Single,1,1213.29,14,86.66,4,2
12365.0,19,Male,47195,Master,Cyprus,Married,4,698.0,3,232.67,4,2
12370.0,42,Other,14933,Master,Austria,Married,2,692.01,7,98.86,4,2
12371.0,35,Male,36522,High School,Switzerland,Single,0,665.93,5,133.19,4,0
12378.0,69,Female,48454,High School,Switzerland,Single,0,1017.41,2,508.7,4,0
12380.0,69,Male,45381,High School,Belgium,Married,4,4277.57,15,285.17,4,2
12391.0,37,Other,80395,High School,Cyprus,Married,3,1074.0,7,153.43,4,2
12395.0,50,Male,11222,PhD,Belgium,Single,0,920.24,18,51.12,4,2
12406.0,68,Female,53847,High School,Denmark,Married,0,472.46,7,67.49,4,2
12408.0,46,Female,28734,College,Belgium,Married,1,529.03,14,37.79,4,2
12409.0,52,Male,56933,College,Switzerland,Married,3,879.67,13,67.67,4,3
12414.0,23,Female,28408,Master,Austria,Married,1,631.34,8,78.92,4,2
12415.0,56,Other,86585,High School,Australia,Single,3,3151.84,33,95.51,4,2
12417.0,70,Female,40307,Bachelor,Belgium,Married,0,2094.56,27,77.58,4,2
12422.0,60,Male,12493,Master,Australia,Married,0,2845.02,21,135.48,4,2
12423.0,76,Female,61303,Bachelor,Denmark,Single,0,490.94,11,44.63,4,2
12428.0,57,Male,21282,Master,Finland,Married,3,1418.79,12,118.23,4,2
12429.0,59,Other,24605,Master,Denmark,Single,4,577.32,9,64.15,4,2
12431.0,53,Other,60501,Master,Belgium,Single,2,1580.53,33,47.89,4,2
12432.0,56,Male,88828,High School,Norway,Single,4,1139.49,5,227.9,4,0
12433.0,73,Male,85094,Bachelor,Norway,Single,0,1649.61,11,149.96,4,0
12437.0,45,Male,15310,College,France,Single,4,2003.68,47,42.63,4,2
12444.0,60,Male,44091,Master,Norway,Married,4,1119.13,5,223.83,4,3
12449.0,22,Male,65081,Master,Denmark,Single,4,732.62,6,122.1,4,2
12451.0,70,Male,20513,PhD,Switzerland,Married,3,1229.25,10,122.92,4,3
12454.0,54,Male,64528,High School,Spain,Married,3,581.72,9,64.64,4,3
12455.0,70,Female,77537,High School,Cyprus,Married,0,888.71,10,88.87,4,2
12457.0,32,Male,73788,Master,Switzerland,Married,3,520.65,14,37.19,4,3
12471.0,53,Male,14015,College,Germany,Married,3,5030.59,129,39.0,4,3
12472.0,18,Female,60446,College,Germany,Single,1,2527.05,37,68.3,4,2
12473.0,49,Other,41769,PhD,Germany,Married,0,2437.84,9,270.87,4,2
12474.0,23,Male,88265,PhD,Germany,Single,3,2297.93,54,42.55,4,2
12476.0,18,Other,51297,Master,Germany,Single,1,2558.41,38,67.33,4,2
12477.0,67,Male,41909,College,Germany,Married,3,2378.09,12,198.17,4,2
12480.0,52,Male,50763,PhD,Germany,Married,2,804.69,8,100.59,4,2
12481.0,66,Female,10750,College,Germany,Single,4,1550.86,18,86.16,4,2
12482.0,47,Male,40117,PhD,Sweden,Married,0,3823.63,32,119.49,4,3
12483.0,21,Male,85640,High School,Sweden,Single,4,1047.57,27,38.8,4,0
12484.0,52,Female,97576,PhD,Spain,Married,0,1509.84,16,94.36,4,3
12490.0,27,Male,91879,High School,France,Single,0,1322.49,22,60.11,4,2
12494.0,61,Male,69165,PhD,France,Single,4,513.93,17,30.23,4,2
12500.0,52,Female,76223,College,Germany,Married,4,748.61,25,29.94,4,2
12502.0,48,Female,10592,College,Spain,Single,1,944.51,5,188.9,4,0
12503.0,77,Other,37013,High School,Spain,Married,3,1357.6,2,678.8,4,3
12510.0,68,Female,76673,High School,Spain,Single,0,3378.83,16,211.18,4,0
12511.0,45,Female,22431,High School,Greece,Married,2,668.83,2,334.42,4,2
12517.0,28,Male,35225,Master,Germany,Single,4,671.48,6,111.91,4,2
