Customer ID,Price,Country,Frequency,Quartile
12346.0,580.44,United Kingdom,17,4
12347.0,644.16,Iceland,8,4
12348.0,193.1,Finland,5,3
12349.0,1504.59,Italy,5,4
12350.0,65.3,Norway,1,1
12351.0,49.46,Unspecified,1,1
12352.0,2265.7,Norway,13,4
12353.0,63.08,Bahrain,2,1
12354.0,261.22,Spain,1,3
12355.0,107.43,Bahrain,2,2
12356.0,450.25,Portugal,6,3
12357.0,1834.31,Switzerland,3,4
12358.0,413.34,Austria,5,3
12359.0,2787.89,Cyprus,14,4
12360.0,736.13,Austria,9,4
12361.0,112.25,Belgium,4,2
12362.0,1213.29,Belgium,14,4
12363.0,53.17,Unspecified,2,1
12364.0,162.37,Belgium,4,2
12365.0,698.0,Cyprus,3,4
12366.0,5.07,Cyprus,1,1
12367.0,35.2,Denmark,1,1
12368.0,79.05,Cyprus,1,2
12369.0,292.85,Austria,3,3
12370.0,692.01,Austria,7,4
12371.0,665.9300000000001,Switzerland,5,4
12372.0,156.07,Denmark,3,2
12373.0,236.0,Austria,3,3
12374.0,288.72,Austria,4,3
12375.0,119.60000000000001,Finland,3,2
12376.0,104.4,Switzerland,2,2
12377.0,416.52,Switzerland,4,3
12378.0,1017.41,Switzerland,2,4
12379.0,237.5,Belgium,5,3
12380.0,4277.570000000001,Belgium,15,4
12381.0,417.04,Norway,6,3
12382.0,18.38,Netherlands,1,1
12383.0,309.36,Belgium,6,3
12384.0,227.27,Switzerland,3,3
12385.0,254.25,Belgium,2,3
12386.0,45.72,Australia,2,1
12387.0,24.86,Australia,1,1
12388.0,412.41,Australia,8,3
12389.0,130.06,Australia,3,2
12390.0,127.9,Belgium,1,2
12391.0,1074.0,Cyprus,7,4
12392.0,35.25,Australia,1,1
12393.0,283.8,Australia,7,3
12394.0,91.00999999999999,Belgium,2,2
12395.0,920.24,Belgium,18,4
12396.0,149.46,RSA,1,2
12397.0,437.0,Belgium,2,3
12398.0,169.38,Switzerland,1,2
12399.0,224.56,Belgium,7,3
12400.0,32.05,Australia,1,1
12401.0,48.4,Belgium,1,1
12402.0,244.1,Belgium,7,3
12403.0,81.93,Denmark,3,2
12404.0,63.24,Finland,1,1
12405.0,191.39000000000001,Finland,1,3
12406.0,472.46,Denmark,7,4
12407.0,251.59,Belgium,5,3
12408.0,529.03,Belgium,14,4
12409.0,879.67,Switzerland,13,4
12410.0,252.84,Switzerland,4,3
12411.0,74.7,Australia,1,2
12412.0,337.41,Denmark,8,3
12413.0,328.99,Spain,6,3
12414.0,631.34,Austria,8,4
12415.0,3151.84,Australia,33,4
12416.0,16.88,Australia,1,1
12417.0,2094.56,Belgium,27,4
12418.0,345.48,Switzerland,5,3
12419.0,126.09,Spain,2,2
12420.0,136.51,Cyprus,1,2
12421.0,312.14,Spain,8,3
12422.0,2845.02,Australia,21,4
12423.0,490.94,Denmark,11,4
12424.0,222.5,Australia,7,3
12425.0,228.19,Portugal,3,3
12426.0,296.81,Germany,3,3
12427.0,210.42,Germany,5,3
12428.0,1418.79,Finland,12,4
12429.0,577.32,Denmark,9,4
12430.0,68.48,Norway,1,2
12431.0,1580.53,Belgium,33,4
12432.0,1139.49,Norway,5,4
12433.0,1649.6100000000001,Norway,11,4
12434.0,266.25,Australia,5,3
12435.0,417.66,Denmark,6,3
12436.0,84.28,Norway,1,2
12437.0,2003.68,France,47,4
12438.0,381.7,Norway,2,3
12439.0,271.46,Cyprus,3,3
12440.0,189.79,Austria,3,3
12441.0,81.42,France,1,2
12442.0,40.08,Spain,1,1
12443.0,123.28,Norway,1,2
12444.0,1119.1299999999999,Norway,5,4
12445.0,91.54,Spain,3,2
12446.0,248.1,RSA,1,3
12447.0,92.93,Belgium,1,2
12448.0,130.94,Spain,1,2
12449.0,732.62,Denmark,6,4
12450.0,90.48,Spain,7,2
12451.0,1229.25,Switzerland,10,4
12452.0,99.67,Switzerland,3,2
12453.0,102.91,Austria,1,2
12454.0,581.72,Spain,9,4
12455.0,888.71,Cyprus,10,4
12456.0,461.37,Switzerland,4,3
12457.0,520.65,Switzerland,14,4
12458.0,333.05,Switzerland,4,3
12459.0,95.42,Spain,1,2
12460.0,78.86,Belgium,1,2
12461.0,149.06,Switzerland,2,2
12462.0,332.42,Spain,4,3
12463.0,269.91,Belgium,7,3
12464.0,343.15,Belgium,8,3
12465.0,138.02,Belgium,3,2
12466.0,56.73,France,1,1
12467.0,29.12,USA,2,1
12468.0,456.8,Germany,10,3
12469.0,227.97,Thailand,2,3
12470.0,90.35,Unspecified,1,2
12471.0,5030.59,Germany,129,4
12472.0,2527.05,Germany,37,4
12473.0,2437.84,Germany,9,4
12474.0,2297.93,Germany,54,4
12475.0,188.72,Germany,2,3
12476.0,2558.41,Germany,38,4
12477.0,2378.09,Germany,12,4
12478.0,163.36,Greece,1,2
12479.0,91.42999999999999,Germany,3,2
12480.0,804.69,Germany,8,4
12481.0,1550.8600000000001,Germany,18,4
12482.0,3823.63,Sweden,32,4
12483.0,1047.57,Sweden,27,4
12484.0,1509.84,Spain,16,4
12485.0,81.96,Sweden,1,2
12486.0,201.07999999999998,Sweden,1,3
12487.0,4.85,Sweden,2,1
12488.0,205.41,France,3,3
12489.0,88.62,France,1,2
12490.0,1322.49,France,22,4
12491.0,87.8,France,1,2
12492.0,136.95,Germany,3,2
12493.0,111.75,France,3,2
12494.0,513.93,France,17,4
12495.0,114.0,Sweden,2,2
12496.0,28.02,Spain,2,1
12497.0,143.68,Germany,4,2
12498.0,96.55,Germany,3,2
12499.0,62.9,Germany,1,1
12500.0,748.61,Germany,25,4
12501.0,387.32,Germany,2,3
12502.0,944.51,Spain,5,4
12503.0,1357.6,Spain,2,4
12504.0,186.3,Germany,6,3
12505.0,209.25,Italy,3,3
12506.0,73.5,France,1,2
12507.0,205.47,Spain,5,3
12508.0,118.71000000000001,France,2,2
12509.0,38.95,France,1,1
12510.0,3378.83,Spain,16,4
12511.0,668.83,Greece,2,4
