Customer ID,Age,Gender,Income,Education,Country,Mariage,Children,Total spending,Frequency,Average spending,Quartile
12346.0,62,Other,62870,PhD,United Kingdom,Married,3,580.44,17,34.14,4
12347.0,65,Male,28910,Master,Iceland,Married,4,644.16,8,80.52,4
12348.0,71,Female,72182,Master,Finland,Married,1,193.1,5,38.62,3
12349.0,18,Female,45656,High School,Italy,Married,3,1504.59,5,300.92,4
12350.0,21,Other,26119,Bachelor,Norway,Married,3,65.3,1,65.3,1
12351.0,77,Female,79279,High School,Unspecified,Single,1,49.46,1,49.46,1
12352.0,21,Male,88186,Bachelor,Norway,Single,0,2265.7,13,174.28,4
12353.0,57,Male,53253,Bachelor,Bahrain,Married,2,63.08,2,31.54,1
12354.0,27,Female,70445,Master,Spain,Single,4,261.22,1,261.22,3
12355.0,37,Other,42218,Master,Bahrain,Single,2,107.43,2,53.72,2
12356.0,39,Male,50613,Bachelor,Portugal,Single,0,450.25,6,75.04,3
12357.0,68,Other,14361,PhD,Switzerland,Single,3,1834.31,3,611.44,4
12358.0,54,Male,91887,College,Austria,Married,1,413.34,5,82.67,3
12359.0,41,Male,48873,College,Cyprus,Single,2,2787.89,14,199.14,4
12360.0,24,Female,35618,Master,Austria,Single,1,736.13,9,81.79,4
12361.0,42,Male,28248,Master,Belgium,Single,1,112.25,4,28.06,2
12362.0,42,Female,93584,Master,Belgium,Single,1,1213.29,14,86.66,4
12363.0,30,Male,63409,Master,Unspecified,Married,3,53.17,2,26.58,1
12364.0,76,Male,43790,Bachelor,Belgium,Married,4,162.37,4,40.59,2
12365.0,19,Male,47195,Master,Cyprus,Married,4,698.0,3,232.67,4
12366.0,56,Female,72415,Bachelor,Cyprus,Single,0,5.07,1,5.07,1
12367.0,57,Male,55541,Bachelor,Denmark,Married,0,35.2,1,35.2,1
12368.0,41,Male,85255,PhD,Cyprus,Single,3,79.05,1,79.05,2
12369.0,64,Other,97377,High School,Austria,Single,3,292.85,3,97.62,3
12370.0,42,Other,14933,Master,Austria,Married,2,692.01,7,98.86,4
12371.0,35,Male,36522,High School,Switzerland,Single,0,665.93,5,133.19,4
12372.0,55,Female,71352,Bachelor,Denmark,Married,2,156.07,3,52.02,2
12373.0,43,Other,85801,PhD,Austria,Single,1,236.0,3,78.67,3
12374.0,31,Female,66907,High School,Austria,Single,4,288.72,4,72.18,3
12375.0,26,Male,89993,PhD,Finland,Married,1,119.6,3,39.87,2
12376.0,27,Other,17894,Bachelor,Switzerland,Married,4,104.4,2,52.2,2
12377.0,38,Female,46921,Master,Switzerland,Married,2,416.52,4,104.13,3
12378.0,69,Female,48454,High School,Switzerland,Single,0,1017.41,2,508.7,4
12379.0,34,Other,37649,Master,Belgium,Single,4,237.5,5,47.5,3
12380.0,69,Male,45381,High School,Belgium,Married,4,4277.57,15,285.17,4
12381.0,23,Male,97827,Bachelor,Norway,Married,3,417.04,6,69.51,3
12382.0,33,Other,73054,Master,Netherlands,Married,1,18.38,1,18.38,1
12383.0,65,Female,71181,High School,Belgium,Single,2,309.36,6,51.56,3
12384.0,18,Other,81723,Master,Switzerland,Married,3,227.27,3,75.76,3
12385.0,36,Other,85859,Master,Belgium,Single,2,254.25,2,127.12,3
12386.0,53,Other,82905,Master,Australia,Single,1,45.72,2,22.86,1
12387.0,42,Male,58049,Master,Australia,Married,3,24.86,1,24.86,1
12388.0,67,Male,18100,College,Australia,Married,1,412.41,8,51.55,3
12389.0,69,Female,38706,College,Australia,Single,0,130.06,3,43.35,2
12390.0,47,Other,39062,PhD,Belgium,Single,4,127.9,1,127.9,2
12391.0,37,Other,80395,High School,Cyprus,Married,3,1074.0,7,153.43,4
12392.0,37,Other,68389,PhD,Australia,Single,1,35.25,1,35.25,1
12393.0,32,Other,30434,College,Australia,Single,4,283.8,7,40.54,3
12394.0,57,Male,94816,College,Belgium,Married,4,91.01,2,45.5,2
12395.0,50,Male,11222,PhD,Belgium,Single,0,920.24,18,51.12,4
12396.0,19,Female,22751,High School,RSA,Single,0,149.46,1,149.46,2
12397.0,27,Female,27519,PhD,Belgium,Married,4,437.0,2,218.5,3
12398.0,75,Other,14713,PhD,Switzerland,Single,0,169.38,1,169.38,2
12399.0,50,Female,17245,High School,Belgium,Married,2,224.56,7,32.08,3
